Iteration	CPUTime	PhysTime	Travels	CourFact
1	6	0	0.0185424147	0
2	8	0	0.0370848294	0
3	10	0	0.0556272441	0
4	12	0	0.0741696587	0
5	15	0	0.0927120734	0
6	17	0	0.111254488	0
7	19	0	0.129796903	0
8	21	0	0.148339317	0
9	24	0	0.166881732	0
10	26	0	0.185424147	0
11	28	0	0.203966562	0
12	30	0	0.222508976	0
13	33	0	0.241051391	0
14	35	0	0.259593806	0
15	37	0	0.27813622	0
16	39	0	0.296678635	0
17	42	0	0.31522105	0
18	44	0	0.333763464	0
19	46	0	0.352305879	0
20	48	0	0.370848294	0
21	51	0	0.389390708	0
22	53	0	0.407933123	0
23	56	0	0.426475538	0
24	58	0	0.445017952	0
25	60	0	0.463560367	0
26	63	0	0.482102782	0
27	65	0	0.500645197	0
28	67	0	0.519187611	0
29	69	0	0.537730026	0
30	71	0	0.556272441	0
31	73	0	0.574814855	0
32	76	0	0.59335727	0
33	78	0	0.611899685	0
34	80	0	0.630442099	0
35	83	0	0.648984514	0
36	86	0	0.667526929	0
37	88	0	0.686069343	0
38	91	0	0.704611758	0
39	94	0	0.723154173	0
40	96	0	0.741696587	0
41	98	0	0.760239002	0
42	101	0	0.778781417	0
43	103	0	0.797323831	0
44	105	0	0.815866246	0
45	108	0	0.834408661	0
46	110	0	0.852951076	0
47	112	0	0.87149349	0
48	115	0	0.890035905	0
49	117	0	0.90857832	0
50	120	0	0.927120734	0
51	122	0	0.945663149	0
52	125	0	0.964205564	0
53	127	0	0.982747978	0
54	129	0	1.00129039	0
