Iteration	CPUTime	PhysTime	Travels	CourFact
1	9	0	0.0151327298	0
2	13	0	0.0302654596	0
3	19	0	0.0453981895	0
4	24	0	0.0605309193	0
5	28	0	0.0756636491	0
6	31	0	0.0907963789	0
7	36	0	0.105929109	0
8	40	0	0.121061839	0
9	43	0	0.136194568	0
10	47	0	0.151327298	0
11	50	0	0.166460028	0
12	54	0	0.181592758	0
13	58	0	0.196725488	0
14	61	0	0.211858218	0
15	65	0	0.226990947	0
16	69	0	0.242123677	0
17	73	0	0.257256407	0
18	77	0	0.272389137	0
19	81	0	0.287521867	0
20	84	0	0.302654596	0
21	88	0	0.317787326	0
22	93	0	0.332920056	0
23	96	0	0.348052786	0
24	100	0	0.363185516	0
25	105	0	0.378318246	0
26	108	0	0.393450975	0
27	112	0	0.408583705	0
28	115	0	0.423716435	0
29	119	0	0.438849165	0
30	122	0	0.453981895	0
31	126	0	0.469114625	0
32	129	0	0.484247354	0
33	133	0	0.499380084	0
34	137	0	0.514512814	0
35	140	0	0.529645544	0
36	144	0	0.544778274	0
37	148	0	0.559911003	0
38	151	0	0.575043733	0
39	155	0	0.590176463	0
40	159	0	0.605309193	0
41	163	0	0.620441923	0
42	167	0	0.635574653	0
43	170	0	0.650707382	0
44	174	0	0.665840112	0
45	178	0	0.680972842	0
46	181	0	0.696105572	0
47	185	0	0.711238302	0
48	189	0	0.726371032	0
49	193	0	0.741503761	0
50	197	0	0.756636491	0
51	200	0	0.771769221	0
52	204	0	0.786901951	0
53	207	0	0.802034681	0
54	211	0	0.817167411	0
55	215	0	0.83230014	0
56	218	0	0.84743287	0
57	222	0	0.8625656	0
58	226	0	0.87769833	0
59	229	0	0.89283106	0
60	233	0	0.907963789	0
61	236	0	0.923096519	0
62	240	0	0.938229249	0
63	243	0	0.953361979	0
64	247	0	0.968494709	0
65	250	0	0.983627439	0
66	254	0	0.998760168	0
67	258	0	1.0138929	0
68	261	0	1.02902563	0
69	265	0	1.04415836	0
70	269	0	1.05929109	0
71	272	0	1.07442382	0
72	276	0	1.08955655	0
73	279	0	1.10468928	0
74	283	0	1.11982201	0
75	286	0	1.13495474	0
76	290	0	1.15008747	0
77	293	0	1.1652202	0
78	297	0	1.18035293	0
79	300	0	1.19548566	0
80	304	0	1.21061839	0
81	307	0	1.22575112	0
82	311	0	1.24088385	0
83	314	0	1.25601658	0
84	318	0	1.27114931	0
85	321	0	1.28628204	0
86	325	0	1.30141476	0
87	329	0	1.31654749	0
88	332	0	1.33168022	0
89	335	0	1.34681295	0
90	339	0	1.36194568	0
91	343	0	1.37707841	0
92	347	0	1.39221114	0
93	350	0	1.40734387	0
94	354	0	1.4224766	0
95	357	0	1.43760933	0
96	361	0	1.45274206	0
97	364	0	1.46787479	0
