Iteration	CPUTime	PhysTime	Travels	CourFact
1	10	0	0.0151327298	0
2	14	0	0.0302654596	0
3	18	0	0.0453981895	0
4	22	0	0.0605309193	0
5	26	0	0.0756636491	0
6	31	0	0.0907963789	0
7	35	0	0.105929109	0
8	39	0	0.121061839	0
9	42	0	0.136194568	0
10	46	0	0.151327298	0
11	49	0	0.166460028	0
12	53	0	0.181592758	0
13	60	0	0.196725488	0
14	66	0	0.211858218	0
15	70	0	0.226990947	0
16	73	0	0.242123677	0
17	77	0	0.257256407	0
18	80	0	0.272389137	0
19	84	0	0.287521867	0
20	87	0	0.302654596	0
21	91	0	0.317787326	0
22	94	0	0.332920056	0
23	97	0	0.348052786	0
24	101	0	0.363185516	0
25	104	0	0.378318246	0
26	108	0	0.393450975	0
27	111	0	0.408583705	0
28	115	0	0.423716435	0
29	118	0	0.438849165	0
30	122	0	0.453981895	0
31	125	0	0.469114625	0
32	129	0	0.484247354	0
33	132	0	0.499380084	0
34	135	0	0.514512814	0
35	139	0	0.529645544	0
36	142	0	0.544778274	0
37	146	0	0.559911003	0
38	149	0	0.575043733	0
39	153	0	0.590176463	0
40	156	0	0.605309193	0
41	160	0	0.620441923	0
42	163	0	0.635574653	0
43	167	0	0.650707382	0
44	170	0	0.665840112	0
45	174	0	0.680972842	0
46	177	0	0.696105572	0
47	181	0	0.711238302	0
48	184	0	0.726371032	0
49	188	0	0.741503761	0
50	191	0	0.756636491	0
51	195	0	0.771769221	0
52	198	0	0.786901951	0
53	202	0	0.802034681	0
54	205	0	0.817167411	0
55	209	0	0.83230014	0
56	212	0	0.84743287	0
57	216	0	0.8625656	0
58	219	0	0.87769833	0
59	223	0	0.89283106	0
60	226	0	0.907963789	0
61	230	0	0.923096519	0
62	233	0	0.938229249	0
63	237	0	0.953361979	0
64	241	0	0.968494709	0
65	244	0	0.983627439	0
66	248	0	0.998760168	0
67	251	0	1.0138929	0
68	255	0	1.02902563	0
